Nom_entreprise,Dirigeant_Gerant,Email_Pro,Ville,Province,Site_Web,Telephone,Taille_Estimee,Specialites,Annee_Creation,Note_Qualite,Source_URL
ISO - CHASSIS SRL,"Grégory Pinchart (adm.), Boleslaw Kurzweil (gérant)",gregory.pinchart@isochassis.be,Namur (Suarlée),Namur,isochassis.be,081 13 82 81,~1-3 ETP,"PVC/bois/alu, fabrication+pose",1979,chaud,https://www.isochassis.be/contact/
S.M.G. CHÂSSIS SRL,Michaël & Corentin Georges,michael@smg-chassis.be,Anhée (Dinant),Namur,smg-chassis.be,082 40 15 23,10 ETP,"PVC/bois/alu, vente+pose",2010,chaud,http://smg-chassis.be/contact.html
MENUISERIE JACQUES COLSON SRL,Jacques Colson,jacques@menuiseriejacquescolson.be,Villers-sur-Lesse (Rochefort),Namur,menuiseriejacquescolson.be,084 37 81 50,Micro (0-2),"Alu/PVC/bois, vérandas",1993,chaud,http://www.menuiseriejacquescolson.be/chassis
MENUISOL SA,Julie Henry & Florian Mélange,info@menuisol.be,Namur (Suarlée),Namur,menuisol.be,081 43 46 04,"11,7 ETP","PVC/alu/bois (Profel), atelier+pose",1994,tiède,https://menuisol.be/a-propos/
MG POSE SRL,Manuel Gomez-Rodriguez,info@mgpose.be,Tamines (Sambreville),Namur,mgposechassis.be,071 76 12 73,"10,6 ETP",PVC fabriqué en atelier + bois/alu,1999,tiède,https://www.mgposechassis.be/
ROLAIN & FILS SRL,"Daniel, Philippe & Jonathan Rolain",info@menuiserierolain.be,Mornimont (Jemeppe-sur-Sambre),Namur,menuiserierolain.be,071 14 31 25,10 ETP,"Bois/PVC/alu, fabrication+pose",2002,tiède,https://www.menuiserierolain.be/contact
AJMAT SA,Jessica Matsoukis (adm. déléguée),info@ajmat.com,Chastrès (Walcourt),Namur,ajmat.com,071 66 90 84,"7,6 ETP","PVC Schüco, fabricant B2B (sans pose)",1997,tiède,https://www.ajmat.com/pourquoi-ajmat/atelier-de-fabrication/
ETS DUCHENE & FILS SRL,Eric & Adrien Duchêne,n.a.,Courrière (Assesse),Namur,chassisduchene.be,083 65 55 10,"6,1 ETP","PVC+alu, pose/rénovation",1997,à vérifier,https://www.chassisduchene.be/namur
N.M.M. SRL (Vitrerie Andennaise),Philippe & Thibaud Egon,info@vitrerieandennaise.be,Andenne,Namur,vitrierandenne.be,085 84 10 73,"4,7 ETP","Vitrerie + châssis PVC/alu/bois, volets",2003,tiède,https://www.vitrierandenne.be/chassis
AB MENUISERIE SRL,Laurent Adnet,n.a.,Assesse (zone Ciney),Namur,abmenuiserie.be,083 61 28 36,"4,2 ETP","Bois/PVC Kömmerling/alu Reynaers, atelier",1991,à vérifier,https://www.abmenuiserie.be/chassis-en-bois-pvc-ou-aluminium-ciney
MURGIA MENUISERIE SRL,Orlando Murgia,info@murgiamenuiserie.be,Andenne,Namur,murgiamenuiserie.be,085 30 91 07,"0,7 ETP","PVC/alu/acier, pose",2021,tiède,https://murgiamenuiserie.be/contact/
